"ds","Prophet_Forecast","Prophet_Lower95","Prophet_Upper95","ETS_Forecast","ETS_Lower95","ETS_Upper95","LM_Forecast","LM_Lower95","LM_Upper95","ARIMA_Auto_Forecast","ARIMA_Auto_Lower95","ARIMA_Auto_Upper95"
2019-01-01,2.47850224972097,2.20713638244582,2.73421363682425,2.28873888997317,1.93097242862406,2.64650535132228,2.50789813171949,2.01405819894008,3.0017380644989,2.45880614095658,2.06709052650215,2.85052175541101
2020-01-01,2.43100204529402,2.18358658919293,2.69981801080985,2.28873888997317,1.86617095008474,2.71130682986161,2.50789795925258,2.01405795098587,3.00173796751929,2.53958832043349,2.10010510903821,2.97907153182877
2021-01-01,2.49215779277533,2.22308548996419,2.74478081016353,2.28873888997317,1.8099312526988,2.76754652724754,2.50789778678567,2.01405770303158,3.00173787053977,2.58068094117051,2.12966056254966,3.03170131979137
2022-01-01,2.45788722274941,2.20079259808178,2.70807421962955,2.28873888997317,1.75951641763298,2.81796136231336,2.50789761431877,2.0140574550772,3.00173777356033,2.60158410929461,2.1476261269178,3.05554209167142
2023-01-01,2.41698520649918,2.18300074553256,2.67609777417845,2.28873888997317,1.71339291140625,2.86408486854009,2.50789744185186,2.01405720712273,3.00173767658098,2.61221722126916,2.15750219627275,3.06693224626557
2024-01-01,2.36948500207201,2.09939921974856,2.60886453714524,2.28873888997317,1.67059911625683,2.90687866368952,2.50789726938495,2.01405695916818,3.00173757960171,2.61762611764276,2.16271540574115,3.07253682954437
2025-01-01,2.43064074955347,2.18234562961497,2.70723300941001,2.28873888997317,1.63048506561664,2.9469927143297,2.50789709691804,2.01405671121354,3.00173748262253,2.62037753792785,2.16541620385953,3.07533887199617
2026-01-01,2.39637017952751,2.16028659866831,2.64340565393213,2.28873888997317,1.59258713511269,2.98489064483365,2.50789692445113,2.01405646325882,3.00173738564344,2.62177714203602,2.16680270991107,3.07675157416098
2027-01-01,2.35546816327717,2.08759941997563,2.58161107019193,2.28873888997317,1.55656090297567,3.02091687697067,2.50789675198422,2.01405621530401,3.00173728866443,2.62248909857361,2.16751127726158,3.07746691988565
2028-01-01,2.30796795885027,2.04682679333516,2.57719266836141,2.28873888997317,1.52214223339947,3.05533554654687,2.50789657951731,2.01405596734912,3.00173719168551,2.62285125963648,2.16787256134372,3.07782995792925
2029-01-01,2.36912370633156,2.10752900312001,2.61670453829373,2.28873888997317,1.48912331088652,3.08835446905983,2.50789640705041,2.01405571939414,3.00173709470667,2.62303548525776,2.16805656003804,3.07801441047748
2030-01-01,2.33485313630579,2.09230311929974,2.58830358252016,2.28873888997317,1.45733715336615,3.1201406265802,2.5078962345835,2.01405547143908,3.00173699772792,2.623129197926,2.16815021398677,3.07810818186524
