"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2022,4.1221231375238,3.53165995881799,4.71258631622962,3.21908763308147,5.02515864196614
2023,4.1221231375238,3.07507221511028,5.16917405993733,2.52079693802916,5.72344933701845
2024,4.1221231375238,2.76418922792192,5.48005704712568,2.04534243843867,6.19890383660893
2025,4.1221231375238,2.51226184798166,5.73198442706594,1.66005275936703,6.58419351568058
2026,4.1221231375238,2.29474188548964,5.94950438955796,1.32738468430468,6.91686159074292
2027,4.1221231375238,2.10049233319637,6.14375394185123,1.03030563048912,7.21394064455848
2028,4.1221231375238,1.92333711389049,6.32090916115712,0.759370102923924,7.48487617212368
2029,4.1221231375238,1.75942788708526,6.48481838796234,0.508692572725963,7.73555370232164
2030,4.1221231375238,1.60617446651231,6.63807180853529,0.274311691842013,7.96993458320559
2031,4.1221231375238,1.46173471026659,6.78251156478102,0.0534101473481234,8.19083612769948
2032,4.1221231375238,1.32474303238904,6.91950324265856,-0.156100544254519,8.40034681930212
2033,4.1221231375238,1.19415382051869,7.05009245452892,-0.355819509075571,8.60006578412318
