"","k","m","delta.1","delta.2","delta.3","delta.4","delta.5","delta.6","delta.7","sigma_obs","beta.1","beta.2","beta.3","beta.4","beta.5","beta.6","beta.7","beta.8","beta.9","beta.10","beta.11","beta.12","beta.13","beta.14","beta.15","beta.16","beta.17","beta.18","beta.19","beta.20","trend"
"1",-0.606147431261724,0.162327575381815,-6.42461809476017e-09,-1.93258808406605e-05,-4.79073799454393e-06,-1.19990505535077e-05,-0.000315619512483522,-0.000108087849573842,-2.62548390347927e-08,0.0330998857848482,0.000783976070983026,0.634701106457647,0.000808941605780476,0.590971240399884,-0.000684044483197351,0.518078148642808,-0.00445377983015604,0.416006859765732,-0.0112588569772754,0.284736415801275,-0.0218575830114291,0.124239874467825,-0.0370079139027641,-0.0655156883652556,-0.0574673893829531,-0.284569175280752,-0.0839930576525381,-0.532965463686088,-0.117341396587181,-0.810755400551335,0.162327575381815
"2",-0.606147431261724,0.162327575381815,-6.42461809476017e-09,-1.93258808406605e-05,-4.79073799454393e-06,-1.19990505535077e-05,-0.000315619512483522,-0.000108087849573842,-2.62548390347927e-08,0.0330998857848482,0.000783976070983026,0.634701106457647,0.000808941605780476,0.590971240399884,-0.000684044483197351,0.518078148642808,-0.00445377983015604,0.416006859765732,-0.0112588569772754,0.284736415801275,-0.0218575830114291,0.124239874467825,-0.0370079139027641,-0.0655156883652556,-0.0574673893829531,-0.284569175280752,-0.0839930576525381,-0.532965463686088,-0.117341396587181,-0.810755400551335,0.101746027624277
"3",-0.606147431261724,0.162327575381815,-6.42461809476017e-09,-1.93258808406605e-05,-4.79073799454393e-06,-1.19990505535077e-05,-0.000315619512483522,-0.000108087849573842,-2.62548390347927e-08,0.0330998857848482,0.000783976070983026,0.634701106457647,0.000808941605780476,0.590971240399884,-0.000684044483197351,0.518078148642808,-0.00445377983015604,0.416006859765732,-0.0112588569772754,0.284736415801275,-0.0218575830114291,0.124239874467825,-0.0370079139027641,-0.0655156883652556,-0.0574673893829531,-0.284569175280752,-0.0839930576525381,-0.532965463686088,-0.117341396587181,-0.810755400551335,0.0411644792246286
"4",-0.606147431261724,0.162327575381815,-6.42461809476017e-09,-1.93258808406605e-05,-4.79073799454393e-06,-1.19990505535077e-05,-0.000315619512483522,-0.000108087849573842,-2.62548390347927e-08,0.0330998857848482,0.000783976070983026,0.634701106457647,0.000808941605780476,0.590971240399884,-0.000684044483197351,0.518078148642808,-0.00445377983015604,0.416006859765732,-0.0112588569772754,0.284736415801275,-0.0218575830114291,0.124239874467825,-0.0370079139027641,-0.0655156883652556,-0.0574673893829531,-0.284569175280752,-0.0839930576525381,-0.532965463686088,-0.117341396587181,-0.810755400551335,-0.0195849828415239
"5",-0.606147431261724,0.162327575381815,-6.42461809476017e-09,-1.93258808406605e-05,-4.79073799454393e-06,-1.19990505535077e-05,-0.000315619512483522,-0.000108087849573842,-2.62548390347927e-08,0.0330998857848482,0.000783976070983026,0.634701106457647,0.000808941605780476,0.590971240399884,-0.000684044483197351,0.518078148642808,-0.00445377983015604,0.416006859765732,-0.0112588569772754,0.284736415801275,-0.0218575830114291,0.124239874467825,-0.0370079139027641,-0.0655156883652556,-0.0574673893829531,-0.284569175280752,-0.0839930576525381,-0.532965463686088,-0.117341396587181,-0.810755400551335,-0.0801689415823207
"6",-0.606147431261724,0.162327575381815,-6.42461809476017e-09,-1.93258808406605e-05,-4.79073799454393e-06,-1.19990505535077e-05,-0.000315619512483522,-0.000108087849573842,-2.62548390347927e-08,0.0330998857848482,0.000783976070983026,0.634701106457647,0.000808941605780476,0.590971240399884,-0.000684044483197351,0.518078148642808,-0.00445377983015604,0.416006859765732,-0.0112588569772754,0.284736415801275,-0.0218575830114291,0.124239874467825,-0.0370079139027641,-0.0655156883652556,-0.0574673893829531,-0.284569175280752,-0.0839930576525381,-0.532965463686088,-0.117341396587181,-0.810755400551335,-0.140754099571051
"7",-0.606147431261724,0.162327575381815,-6.42461809476017e-09,-1.93258808406605e-05,-4.79073799454393e-06,-1.19990505535077e-05,-0.000315619512483522,-0.000108087849573842,-2.62548390347927e-08,0.0330998857848482,0.000783976070983026,0.634701106457647,0.000808941605780476,0.590971240399884,-0.000684044483197351,0.518078148642808,-0.00445377983015604,0.416006859765732,-0.0112588569772754,0.284736415801275,-0.0218575830114291,0.124239874467825,-0.0370079139027641,-0.0655156883652556,-0.0574673893829531,-0.284569175280752,-0.0839930576525381,-0.532965463686088,-0.117341396587181,-0.810755400551335,-0.20137080222628
"8",-0.606147431261724,0.162327575381815,-6.42461809476017e-09,-1.93258808406605e-05,-4.79073799454393e-06,-1.19990505535077e-05,-0.000315619512483522,-0.000108087849573842,-2.62548390347927e-08,0.0330998857848482,0.000783976070983026,0.634701106457647,0.000808941605780476,0.590971240399884,-0.000684044483197351,0.518078148642808,-0.00445377983015604,0.416006859765732,-0.0112588569772754,0.284736415801275,-0.0218575830114291,0.124239874467825,-0.0370079139027641,-0.0655156883652556,-0.0574673893829531,-0.284569175280752,-0.0839930576525381,-0.532965463686088,-0.117341396587181,-0.810755400551335,-0.26216441050194
"9",-0.606147431261724,0.162327575381815,-6.42461809476017e-09,-1.93258808406605e-05,-4.79073799454393e-06,-1.19990505535077e-05,-0.000315619512483522,-0.000108087849573842,-2.62548390347927e-08,0.0330998857848482,0.000783976070983026,0.634701106457647,0.000808941605780476,0.590971240399884,-0.000684044483197351,0.518078148642808,-0.00445377983015604,0.416006859765732,-0.0112588569772754,0.284736415801275,-0.0218575830114291,0.124239874467825,-0.0370079139027641,-0.0655156883652556,-0.0574673893829531,-0.284569175280752,-0.0839930576525381,-0.532965463686088,-0.117341396587181,-0.810755400551335,-0.322791918646795
"10",-0.606147431261724,0.162327575381815,-6.42461809476017e-09,-1.93258808406605e-05,-4.79073799454393e-06,-1.19990505535077e-05,-0.000315619512483522,-0.000108087849573842,-2.62548390347927e-08,0.0330998857848482,0.000783976070983026,0.634701106457647,0.000808941605780476,0.590971240399884,-0.000684044483197351,0.518078148642808,-0.00445377983015604,0.416006859765732,-0.0112588569772754,0.284736415801275,-0.0218575830114291,0.124239874467825,-0.0370079139027641,-0.0655156883652556,-0.0574673893829531,-0.284569175280752,-0.0839930576525381,-0.532965463686088,-0.117341396587181,-0.810755400551335,-0.383419426791649
"11",-0.606147431261724,0.162327575381815,-6.42461809476017e-09,-1.93258808406605e-05,-4.79073799454393e-06,-1.19990505535077e-05,-0.000315619512483522,-0.000108087849573842,-2.62548390347927e-08,0.0330998857848482,0.000783976070983026,0.634701106457647,0.000808941605780476,0.590971240399884,-0.000684044483197351,0.518078148642808,-0.00445377983015604,0.416006859765732,-0.0112588569772754,0.284736415801275,-0.0218575830114291,0.124239874467825,-0.0370079139027641,-0.0655156883652556,-0.0574673893829531,-0.284569175280752,-0.0839930576525381,-0.532965463686088,-0.117341396587181,-0.810755400551335,-0.444046934936504
